time,Engine-RPM,Fault Type
0.001,2,gain
0.002,2,gain
0.003,2,gain
0.004,2,gain
0.005,2,gain
0.006,2,gain
0.007,2,gain
0.008,2,gain
0.009,2,gain
0.01,2,gain
0.011,18,gain
0.012,18,gain
0.013,18,gain
0.014,18,gain
0.015,18,gain
0.016,18,gain
0.017,18,gain
0.018,18,gain
0.019,18,gain
0.02,18,gain
0.021,32,gain
0.022,32,gain
0.023,32,gain
0.024,32,gain
0.025,32,gain
0.026,32,gain
0.027,32,gain
0.028,32,gain
0.029,32,gain
0.03,32,gain
0.031,45,gain
0.032,45,gain
0.033,45,gain
0.034,45,gain
0.035,45,gain
0.036,45,gain
0.037,45,gain
0.038,45,gain
0.039,45,gain
0.04,45,gain
0.041,58,gain
0.042,58,gain
0.043,58,gain
0.044,58,gain
0.045,58,gain
0.046,58,gain
0.047,58,gain
0.048,58,gain
0.049,58,gain
0.05,58,gain
0.051,69,gain
0.052,69,gain
0.053,69,gain
0.054,69,gain
0.055,69,gain
0.056,69,gain
0.057,69,gain
0.058,69,gain
0.059,69,gain
0.06,69,gain
0.061,80,gain
0.062,80,gain
0.063,80,gain
0.064,80,gain
0.065,80,gain
0.066,80,gain
0.067,80,gain
0.068,80,gain
0.069,80,gain
0.07,80,gain
0.071,90,gain
0.072,90,gain
0.073,90,gain
0.074,90,gain
0.075,90,gain
0.076,90,gain
0.077,90,gain
0.078,90,gain
0.079,90,gain
0.08,90,gain
0.081,99,gain
0.082,99,gain
0.083,99,gain
0.084,99,gain
0.085,99,gain
0.086,99,gain
0.087,99,gain
0.088,99,gain
0.089,99,gain
0.09,99,gain
0.091,107,gain
0.092,107,gain
0.093,107,gain
0.094,107,gain
0.095,107,gain
0.096,107,gain
0.097,107,gain
0.098,107,gain
0.099,107,gain
0.1,107,gain
0.101,115,gain
0.102,115,gain
0.103,115,gain
0.104,115,gain
0.105,115,gain
0.106,115,gain
0.107,115,gain
0.108,115,gain
0.109,115,gain
0.11,115,gain
0.111,123,gain
0.112,123,gain
0.113,123,gain
0.114,123,gain
0.115,123,gain
0.116,123,gain
0.117,123,gain
0.118,123,gain
0.119,123,gain
0.12,123,gain
0.121,129,gain
0.122,129,gain
0.123,129,gain
0.124,129,gain
0.125,129,gain
0.126,129,gain
0.127,129,gain
0.128,129,gain
0.129,129,gain
0.13,129,gain
0.131,135,gain
0.132,135,gain
0.133,135,gain
0.134,135,gain
0.135,135,gain
0.136,135,gain
0.137,135,gain
0.138,135,gain
0.139,135,gain
0.14,135,gain
0.141,141,gain
0.142,141,gain
0.143,141,gain
0.144,141,gain
0.145,141,gain
0.146,141,gain
0.147,141,gain
0.148,141,gain
0.149,141,gain
0.15,141,gain
0.151,146,gain
0.152,146,gain
0.153,146,gain
0.154,146,gain
0.155,146,gain
0.156,146,gain
0.157,146,gain
0.158,146,gain
0.159,146,gain
0.16,146,gain
0.161,151,gain
0.162,151,gain
0.163,151,gain
0.164,151,gain
0.165,151,gain
0.166,151,gain
0.167,151,gain
0.168,151,gain
0.169,151,gain
0.17,151,gain
0.171,156,gain
0.172,156,gain
0.173,156,gain
0.174,156,gain
0.175,156,gain
0.176,156,gain
0.177,156,gain
0.178,156,gain
0.179,156,gain
0.18,156,gain
0.181,160,gain
0.182,160,gain
0.183,160,gain
0.184,160,gain
0.185,160,gain
0.186,160,gain
0.187,160,gain
0.188,160,gain
0.189,160,gain
0.19,160,gain
0.191,164,gain
0.192,164,gain
0.193,164,gain
0.194,164,gain
0.195,164,gain
0.196,164,gain
0.197,164,gain
0.198,164,gain
0.199,164,gain
0.2,164,gain
0.201,168,gain
0.202,168,gain
0.203,168,gain
0.204,168,gain
0.205,168,gain
0.206,168,gain
0.207,168,gain
0.208,168,gain
0.209,168,gain
0.21,168,gain
0.211,171,gain
0.212,171,gain
0.213,171,gain
0.214,171,gain
0.215,171,gain
0.216,171,gain
0.217,171,gain
0.218,171,gain
0.219,171,gain
0.22,171,gain
0.221,174,gain
0.222,174,gain
0.223,174,gain
0.224,174,gain
0.225,174,gain
0.226,174,gain
0.227,174,gain
0.228,174,gain
0.229,174,gain
0.23,174,gain
0.231,177,gain
0.232,177,gain
0.233,177,gain
0.234,177,gain
0.235,177,gain
0.236,177,gain
0.237,177,gain
0.238,177,gain
0.239,177,gain
0.24,177,gain
0.241,180,gain
0.242,180,gain
0.243,180,gain
0.244,180,gain
0.245,180,gain
0.246,180,gain
0.247,180,gain
0.248,180,gain
0.249,180,gain
0.25,180,gain
0.251,182,gain
0.252,182,gain
0.253,182,gain
0.254,182,gain
0.255,182,gain
0.256,182,gain
0.257,182,gain
0.258,182,gain
0.259,182,gain
0.26,182,gain
0.261,184,gain
0.262,184,gain
0.263,184,gain
0.264,184,gain
0.265,184,gain
0.266,184,gain
0.267,184,gain
0.268,184,gain
0.269,184,gain
0.27,184,gain
0.271,186,gain
0.272,186,gain
0.273,186,gain
0.274,186,gain
0.275,186,gain
0.276,186,gain
0.277,186,gain
0.278,186,gain
0.279,186,gain
0.28,186,gain
0.281,188,gain
0.282,188,gain
0.283,188,gain
0.284,188,gain
