time,Engine-RPM,Fault Type
3.201,619,offset
3.202,619,offset
3.203,619,offset
3.204,619,offset
3.205,676,offset
3.206,676,offset
3.207,676,offset
3.208,676,offset
3.209,676,offset
3.21,676,offset
3.211,676,offset
3.212,676,offset
3.213,676,offset
3.214,676,offset
3.215,673,offset
3.216,673,offset
3.217,673,offset
3.218,673,offset
3.219,673,offset
3.22,673,offset
3.221,673,offset
3.222,673,offset
3.223,673,offset
3.224,673,offset
3.225,711,offset
3.226,711,offset
3.227,711,offset
3.228,711,offset
3.229,711,offset
3.23,711,offset
3.231,711,offset
3.232,711,offset
3.233,711,offset
3.234,711,offset
3.235,757,offset
3.236,757,offset
3.237,757,offset
3.238,757,offset
3.239,757,offset
3.24,757,offset
3.241,757,offset
3.242,757,offset
3.243,757,offset
3.244,757,offset
3.245,754,offset
3.246,754,offset
3.247,754,offset
3.248,754,offset
3.249,754,offset
3.25,754,offset
3.251,754,offset
3.252,754,offset
3.253,754,offset
3.254,754,offset
3.255,786,offset
3.256,786,offset
3.257,786,offset
3.258,786,offset
3.259,786,offset
3.26,786,offset
3.261,786,offset
3.262,786,offset
3.263,786,offset
3.264,786,offset
3.265,798,offset
3.266,798,offset
3.267,798,offset
3.268,798,offset
3.269,798,offset
3.27,798,offset
3.271,798,offset
3.272,798,offset
3.273,798,offset
3.274,798,offset
3.275,800,offset
3.276,800,offset
3.277,800,offset
3.278,800,offset
3.279,800,offset
3.28,800,offset
3.281,800,offset
3.282,800,offset
3.283,800,offset
3.284,800,offset
3.285,817,offset
3.286,817,offset
3.287,817,offset
3.288,817,offset
3.289,817,offset
3.29,817,offset
3.291,817,offset
3.292,817,offset
3.293,817,offset
3.294,817,offset
3.295,813,offset
3.296,813,offset
3.297,813,offset
3.298,813,offset
3.299,813,offset
3.3,813,offset
3.301,813,offset
3.302,813,offset
3.303,813,offset
3.304,813,offset
3.305,822,offset
3.306,822,offset
3.307,822,offset
3.308,822,offset
3.309,822,offset
3.31,822,offset
3.311,822,offset
3.312,822,offset
3.313,822,offset
3.314,822,offset
3.315,824,offset
3.316,824,offset
3.317,824,offset
3.318,824,offset
3.319,824,offset
3.32,824,offset
3.321,824,offset
3.322,824,offset
3.323,824,offset
3.324,824,offset
3.325,822,offset
3.326,822,offset
3.327,822,offset
3.328,822,offset
3.329,822,offset
3.33,822,offset
3.331,822,offset
3.332,822,offset
3.333,822,offset
3.334,822,offset
3.335,824,offset
3.336,824,offset
3.337,824,offset
3.338,824,offset
3.339,824,offset
3.34,824,offset
3.341,824,offset
3.342,824,offset
3.343,824,offset
3.344,824,offset
3.345,819,offset
3.346,819,offset
3.347,819,offset
3.348,819,offset
3.349,819,offset
3.35,819,offset
3.351,819,offset
3.352,819,offset
3.353,819,offset
3.354,819,offset
3.355,819,offset
3.356,819,offset
3.357,819,offset
3.358,819,offset
3.359,819,offset
3.36,819,offset
3.361,819,offset
3.362,819,offset
3.363,819,offset
3.364,819,offset
3.365,816,offset
3.366,816,offset
3.367,816,offset
3.368,816,offset
3.369,816,offset
3.37,816,offset
3.371,816,offset
3.372,816,offset
3.373,816,offset
3.374,816,offset
3.375,812,offset
3.376,812,offset
3.377,812,offset
3.378,812,offset
3.379,812,offset
3.38,812,offset
3.381,812,offset
3.382,812,offset
3.383,812,offset
3.384,812,offset
3.385,811,offset
3.386,811,offset
3.387,811,offset
3.388,811,offset
3.389,811,offset
3.39,811,offset
3.391,811,offset
3.392,811,offset
3.393,811,offset
3.394,811,offset
3.395,806,offset
3.396,806,offset
3.397,806,offset
3.398,806,offset
3.399,806,offset
3.4,806,offset
3.401,806,offset
3.402,806,offset
3.403,806,offset
3.404,806,offset
3.405,806,offset
3.406,806,offset
3.407,806,offset
3.408,806,offset
3.409,806,offset
3.41,806,offset
3.411,806,offset
3.412,806,offset
3.413,806,offset
3.414,806,offset
3.415,802,offset
3.416,802,offset
3.417,802,offset
3.418,802,offset
3.419,802,offset
3.42,802,offset
3.421,802,offset
3.422,802,offset
3.423,802,offset
3.424,802,offset
3.425,800,offset
3.426,800,offset
3.427,800,offset
3.428,800,offset
3.429,800,offset
3.43,800,offset
3.431,800,offset
3.432,800,offset
3.433,800,offset
3.434,800,offset
3.435,800,offset
3.436,800,offset
3.437,800,offset
3.438,800,offset
3.439,800,offset
3.44,800,offset
3.441,800,offset
3.442,800,offset
3.443,800,offset
3.444,800,offset
3.445,796,offset
3.446,796,offset
3.447,796,offset
3.448,796,offset
3.449,796,offset
3.45,796,offset
3.451,796,offset
3.452,796,offset
3.453,796,offset
3.454,796,offset
3.455,799,offset
3.456,799,offset
3.457,799,offset
3.458,799,offset
3.459,799,offset
3.46,799,offset
3.461,799,offset
3.462,799,offset
3.463,799,offset
3.464,799,offset
3.465,795,offset
3.466,795,offset
3.467,795,offset
3.468,795,offset
3.469,795,offset
3.47,795,offset
3.471,795,offset
3.472,795,offset
3.473,795,offset
3.474,795,offset
3.475,795,offset
3.476,795,offset
3.477,795,offset
3.478,795,offset
3.479,795,offset
3.48,795,offset
3.481,795,offset
3.482,795,offset
3.483,795,offset
3.484,795,offset
3.485,797,offset
3.486,797,offset
3.487,797,offset
3.488,797,offset
3.489,797,offset
3.49,797,offset
