time,Engine-RPM,Fault Type
0.001,0,noise
0.002,0,noise
0.003,0,noise
0.004,0,noise
0.005,0,noise
0.006,0,noise
0.007,0,noise
0.008,0,noise
0.009,0,noise
0.01,0,noise
0.011,0,noise
0.012,0,noise
0.013,0,noise
0.014,0,noise
0.015,0,noise
6.365,743,noise
6.366,743,noise
6.367,739,noise
6.368,739,noise
6.369,739,noise
6.37,739,noise
6.371,739,noise
6.372,739,noise
6.373,739,noise
6.374,739,noise
6.375,739,noise
6.376,739,noise
6.377,740,noise
6.378,740,noise
6.379,740,noise
6.38,740,noise
6.381,740,noise
6.382,740,noise
6.383,740,noise
6.384,740,noise
6.385,740,noise
6.386,740,noise
6.387,743,noise
6.388,743,noise
6.389,743,noise
6.39,743,noise
6.391,743,noise
6.392,743,noise
6.393,743,noise
6.394,743,noise
6.395,743,noise
6.396,743,noise
6.397,738,noise
6.398,738,noise
6.399,738,noise
6.4,738,noise
6.401,738,noise
6.402,738,noise
6.403,738,noise
6.404,738,noise
6.405,738,noise
6.406,738,noise
6.407,742,noise
6.408,742,noise
6.409,742,noise
6.41,742,noise
6.411,742,noise
6.412,742,noise
6.413,742,noise
6.414,742,noise
6.415,742,noise
6.416,742,noise
6.417,742,noise
6.418,742,noise
6.419,742,noise
6.42,742,noise
6.421,742,noise
6.422,742,noise
6.423,742,noise
6.424,742,noise
6.425,742,noise
6.426,742,noise
6.427,738,noise
6.428,738,noise
6.429,738,noise
6.43,738,noise
6.431,738,noise
6.432,738,noise
6.433,738,noise
6.434,738,noise
6.435,738,noise
6.436,738,noise
6.437,744,noise
6.438,744,noise
6.439,744,noise
6.44,744,noise
6.441,744,noise
6.442,744,noise
6.443,744,noise
6.444,744,noise
6.445,744,noise
6.446,744,noise
6.447,741,noise
6.448,741,noise
6.449,741,noise
6.45,741,noise
6.451,741,noise
6.452,741,noise
6.453,741,noise
6.454,741,noise
6.455,741,noise
6.456,741,noise
6.457,740,noise
6.458,740,noise
6.459,740,noise
6.46,740,noise
6.461,740,noise
6.462,740,noise
6.463,740,noise
6.464,740,noise
6.465,740,noise
6.466,740,noise
6.467,744,noise
6.468,744,noise
6.469,744,noise
6.47,744,noise
6.471,744,noise
6.472,744,noise
6.473,744,noise
6.474,744,noise
6.475,744,noise
6.476,744,noise
6.477,739,noise
6.478,739,noise
6.479,739,noise
6.48,739,noise
6.481,739,noise
6.482,739,noise
6.483,739,noise
6.484,739,noise
6.485,739,noise
6.486,739,noise
6.487,742,noise
6.488,742,noise
6.489,742,noise
6.49,742,noise
6.491,742,noise
6.492,742,noise
6.493,742,noise
6.494,742,noise
6.495,742,noise
6.496,742,noise
6.497,743,noise
6.498,743,noise
6.499,743,noise
6.5,743,noise
6.501,743,noise
6.502,743,noise
6.503,743,noise
6.504,743,noise
6.505,743,noise
6.506,743,noise
6.507,739,noise
6.508,739,noise
6.509,739,noise
6.51,739,noise
6.511,739,noise
6.512,739,noise
6.513,739,noise
6.514,739,noise
6.515,739,noise
6.516,739,noise
6.517,744,noise
6.518,744,noise
6.519,744,noise
6.52,744,noise
6.521,744,noise
6.522,744,noise
6.523,744,noise
6.524,744,noise
6.525,744,noise
6.526,744,noise
6.527,742,noise
6.528,742,noise
6.529,742,noise
6.53,742,noise
6.531,742,noise
6.532,742,noise
6.533,742,noise
6.534,742,noise
6.535,742,noise
6.536,742,noise
6.537,740,noise
6.538,740,noise
6.539,740,noise
6.54,740,noise
6.541,740,noise
6.542,740,noise
6.543,740,noise
6.544,740,noise
6.545,740,noise
6.546,740,noise
6.547,745,noise
6.548,745,noise
6.549,745,noise
6.55,745,noise
6.551,745,noise
6.552,745,noise
6.553,745,noise
6.554,745,noise
6.555,745,noise
6.556,745,noise
6.557,740,noise
6.558,740,noise
6.559,740,noise
6.56,740,noise
6.561,740,noise
6.562,740,noise
6.563,740,noise
6.564,740,noise
6.565,740,noise
6.566,740,noise
6.567,742,noise
6.568,742,noise
6.569,742,noise
6.57,742,noise
6.571,742,noise
6.572,742,noise
6.573,742,noise
6.574,742,noise
6.575,742,noise
6.576,742,noise
6.577,744,noise
6.578,744,noise
6.579,744,noise
6.58,744,noise
6.581,744,noise
6.582,744,noise
6.583,744,noise
6.584,744,noise
6.585,744,noise
6.586,744,noise
6.587,739,noise
6.588,739,noise
6.589,739,noise
6.59,739,noise
6.591,739,noise
6.592,739,noise
6.593,739,noise
6.594,739,noise
6.595,739,noise
6.596,739,noise
6.597,744,noise
6.598,744,noise
6.599,744,noise
6.6,744,noise
6.601,744,noise
6.602,744,noise
6.603,744,noise
6.604,744,noise
6.605,744,noise
6.606,744,noise
6.607,743,noise
6.608,743,noise
6.609,743,noise
6.61,743,noise
6.611,743,noise
6.612,743,noise
6.613,743,noise
6.614,743,noise
6.615,743,noise
6.616,743,noise
6.617,740,noise
6.618,740,noise
6.619,740,noise
6.62,740,noise
6.621,740,noise
6.622,740,noise
6.623,740,noise
6.624,740,noise
6.625,740,noise
6.626,740,noise
6.627,745,noise
6.628,745,noise
6.629,745,noise
6.63,745,noise
6.631,745,noise
6.632,745,noise
6.633,745,noise
6.634,745,noise
6.635,745,noise
6.636,745,noise
6.637,741,noise
6.638,741,noise
6.639,741,noise
6.64,741,noise
6.641,741,noise
6.642,741,noise
6.643,741,noise
6.644,741,noise
6.645,741,noise
6.646,741,noise
6.647,742,noise
6.648,742,noise
6.649,742,noise
6.65,742,noise
6.651,742,noise
6.652,742,noise
6.653,742,noise
6.654,742,noise
6.655,742,noise
6.656,742,noise
6.657,745,noise
6.658,745,noise
6.659,745,noise
6.66,745,noise
6.661,745,noise
6.662,745,noise
6.663,745,noise
6.664,745,noise
6.665,745,noise
6.666,745,noise
6.667,740,noise
6.668,740,noise
6.669,740,noise
6.67,740,noise
6.671,740,noise
